Frazione/Località,Numero,Insegna,Indirizzo,Note,Comune,Cap,Civico,Categorie
,157,LAVANDERIA LA RINNOVA,Via Modena,,Mori,38065,65,[]
,158,PANIFICIO SARTORI,Piazza Cal Di Ponte,,Mori,38065,32,['PANIFICIO']
 Bezzecca,159,BAR RISTORANTE ALBERGO ALLA COSTA,Piazza Concei,,Ledro,38067,3,"['BAR', 'RISTORANTE', 'ALBERGO']"
 Tiarno di Sotto,160,BAR RISTORANTE ALBERGO ALLA PERLA,Via Garibaldi,,Ledro,38067,63,"['BAR', 'RISTORANTE', 'ALBERGO']"
 Pieve di Ledro,161,BAR RISTORANTE ALBERGO ALPINO,Via Cassoni,,Ledro,38067,16,"['BAR', 'RISTORANTE', 'ALBERGO']"
 Tiarno di Sopra,162,BAR RISTORANTE ALBERGO CASAVECCHIA,Via G. Marconi,,Ledro,38067, 11/A,"['BAR', 'RISTORANTE', 'ALBERGO']"
 Bezzecca,163,BAR RISTORANTE ALBERGO MAGGIORINA,Via XXIV Ottobre,,Ledro,38067,9,"['BAR', 'RISTORANTE', 'ALBERGO']"
 Tiarno di Sopra,164,BAR RISTORANTE ALBERGO VITTORIA,Piazza Milin,,Ledro,38067,1,"['BAR', 'RISTORANTE', 'ALBERGO']"
 Tiarno di Sopra,165,BAR POSTA,Via G. Marconi,,Ledro,38067,93,['BAR']
Bezzecca,166,CAFFÈ BAR CENTRALE,Piazza Garibaldi,,Ledro,38067,7,['BAR']
 Pieve di Ledro,167,BAR RISTORANTE PIZZERIA CAMPEGGIO AL LAGO,Via Alzer,,Ledro,38067,7,"['BAR', 'RISTORANTE', 'PIZZERIA']"
Molina di Ledro,168,CASARI FERRAMENTA,Via Maffei,,Ledro,38067,3,['FERRAMENTA']
Molina di Ledro,169,OFFICINA MECCANICA DISTRIBUTORE MAZZOLA,Via Maffei,,Ledro,38067,77,[]
 Pieve di Ledro,170,OFFICINA MECCANICA DISTRIBUTORE PELLEGRINI,Via Nuova,,Ledro,38067,8,[]
 Lenzumo,171,BAR RISTORANTE ECO AMBIENTI HOTEL ELDA,Via III Giugno,,Ledro,38067,3,"['BAR', 'RISTORANTE', 'HOTEL']"
 Pieve di Ledro,172,FARMACIA FOLETTO,Via Vittoria,,Ledro,38067,11,['FARMACIA']
 Lenzumo,173,BAR RISTORANTE HOTEL CADRIA,Via Unità d’Italia,,Ledro,38067,25,"['BAR', 'RISTORANTE', 'HOTEL']"
 Pieve di Ledro,174,BAR RISTORANTE HOTEL LIDO,Via Pribram,,Ledro,38067,1,"['BAR', 'RISTORANTE', 'HOTEL']"
 Mezzolago,175,BAR RISTORANTE HOTEL MEZZOLAGO,Via Lungolago,,Ledro,38067, 4/6,"['BAR', 'RISTORANTE', 'HOTEL']"
 Pieve di Ledro,176,LA BOTTEGA DELL’ARTIGIANO,Via Vittoria,,Ledro,38067,22,[]
Bezzecca,177,MACELLERIA CIS MASSIMO,Via XXI Luglio,,Ledro,38067,8,['MACELLERIA']
Bezzecca,178,MACELLERIA ZECCHINI,Piazza Obbedisco,,Ledro,38067,13,['MACELLERIA']
 Pieve di Ledro,179,OSTERIA LA TORRE,Via Vittoria,,Ledro,38067,28,[]
Bezzecca,180,PANIFICIO F.LLI TOMASONI S.A.S.,Via C. Battisti,,Ledro,38067,5,['PANIFICIO']
 Concei,181,RIFUGIO AL FAGGIO,Località al Faggio,rifugio escursionistico,Ledro,38067,,[]
 Tiarno di Sopra,182,RIBAGA SELF SERVICE,Via Vittorio Emanuele,,Ledro,38067,65,[]
,183,BAR RISTORANTE FALORIA,Piaz De Sotegrava,,Moena,38035,17,"['BAR', 'RISTORANTE']"
,184,CASABELLA IDEE REGALO,Cort Del Batesta,,Moena,38035,10,[]
,185,ARTICOLI DA REGALO LIBRERIA CROCE MARIA CRISTINA,Piaz De Ramon,,Moena,38035,1,[]
,186,EN SLUCK,Strada Cerilo Dellantonio Bora,esercizio commerciale,Moena,38035,4,[]
,187,FARMACIA DOTT. RIGONI,Strada Cerilo Dellantonio Bora,,Moena,38035,2,['FARMACIA']
,188,BAR HOTEL CAVALLETTO,Strada De Fachin,,Moena,38035,1,"['BAR', 'HOTEL']"
,189,BAR HOTEL MARIA,Strada De Sen Pelegrin,,Moena,38035,1,"['BAR', 'HOTEL']"
,190,IELLICI SPORT CALZATURE,Piaz De Ramon,,Moena,38035,62,"['CALZATURE', 'SPORT']"
,191,MODE SPORT,Piaz De Ramon,,Moena,38035,48,['SPORT']
,192,BAR HOTEL MANZONI,Sen Pelegrin,,Moena,38035,14,"['BAR', 'HOTEL']"
,193,BAR RISTORANTE LO SFIZIO,Piaz De Ramon,,Moena,38035,32,"['BAR', 'RISTORANTE']"
,194,BAR SPORTHOTEL SAN VIGILIO,L Vial,,Moena,38035,23,"['BAR', 'HOTEL', 'SPORT']"
,195,CALZATURE ZANONER,Strada Ermanno Zanoner – Canori,,Moena,38035,8,['CALZATURE']
